bit_index,bit_name,accuracy,ct_prevalence,py_prevalence
678,ring:hetero_[6]_Z_generic,0.5461504326603062,0.24251164854670512,0.696361215886399
421,chain:alkaneBranch_isopropyl_C3,0.741402263146217,0.11615265143110717,0.37475038828489016
431,chain:alkaneCyclic_ethyl_C2_(connect_noZ),0.7591524295540271,0.17661415575771022,0.41746172620368316
456,chain:alkeneCyclic_ethene_generic,0.8695362769025959,0.10295096516529842,0.17350787663634346
455,chain:alkeneCyclic_ethene_C_(connect_noZ),0.9049256711781672,0.05757710228533393,0.13889505214111383
265,bond:quatN_b-carbonyl,0.9334368759707122,0.0006656312402928778,0.06722875526958065
691,ring:hetero_[6_6]_Z_generic,0.9343243842911028,0.07144441979143555,0.1371200355003328
82,bond:CC(=O)C_ketone_alkene_cyclic_2-en-1-one_generic,0.9396494342134457,0.04759263368094076,0.036276902595961835
75,bond:CC(=O)C_ketone_alkane_cyclic,0.9586199245617928,0.048923896161526516,0.07211005103172842
646,ring:hetero_[5_6]_Z_generic,0.9611715109829154,0.08386953627690259,0.12269802529398713
81,bond:CC(=O)C_ketone_alkene_cyclic_2-en-1-one,0.9664965609052585,0.022964277790104282,0.025848679831373417
453,chain:alkeneCyclic_diene_cyclohexene,0.9700465941868205,0.04426447747947637,0.01497670290658975
465,chain:alkeneLinear_mono-ene_ethylene,0.9718216108276015,0.04126913689815842,0.06944752607055692
36,bond:C(=O)N_carboxamide_generic,0.9719325493676503,0.20601286887064565,0.179720434879077
214,bond:NC=O_aminocarbonyl_generic,0.972709119147992,0.20678943865098734,0.179720434879077
73,bond:CC(=O)C_ketone_aliphatic_acyclic,0.972709119147992,0.04703794098069669,0.07432882183270469
68,bond:C=O_carbonyl_ab-unsaturated_generic,0.9758153982693588,0.06046150432660306,0.036276902595961835
463,chain:alkeneLinear_mono-ene_allyl,0.9773685378300422,0.03705347237630353,0.05968493454626137
109,bond:CN_amine_ter-N_generic,0.9784779232305303,0.13046372309740403,0.14865764366540937
106,bond:CN_amine_ter-N_aliphatic,0.9786998003106279,0.1302418460173064,0.14865764366540937
501,chain:oxy-alkaneLinear_ethyleneOxide_EO10,0.9824717106722876,0.00011093854004881296,0.01763922786776126
494,chain:oxy-alkaneLinear_ethyleneOxide_EO1,0.9826935877523851,0.015864211226980254,0.0014422010206345684
486,chain:aromaticAlkane_Ph-C1_cyclic,0.9826935877523851,0.10761038384734857,0.09030397159973375
656,ring:hetero_[6]_N_pyrimidine,0.9849123585533615,0.019303305968493455,0.03439094741513202
79,bond:CC(=O)C_ketone_alkene_cyclic_(C6),0.9867983137341912,0.014532948746394497,0.0013312624805857556
86,bond:CC(=O)C_ketone_generic,0.9876858220545818,0.10472598180607944,0.0924118038606612
495,chain:oxy-alkaneLinear_ethylenOxide_EO1(O),0.9877967605946306,0.01164854670512536,0.0005546927002440647
93,bond:CN_amine_aliphatic_generic,0.988129576214777,0.2080097625915243,0.21988018637674728
215,bond:NC=O_urea_generic,0.9883514532948746,0.029398713112935435,0.01775016640781007
84,bond:CC(=O)C_ketone_alkene_generic,0.9883514532948746,0.04160195251830486,0.0299534058131795
502,chain:oxy-alkaneLinear_ethyleneOxide_EO12,0.9884623918349235,0.00011093854004881296,0.01164854670512536
276,bond:S(=O)O_sulfonicAcid_anion,0.9891280230752163,0.0009984468604393166,0.011870423785222987
435,chain:alkaneCyclic_hexyl_C6,0.9900155313956068,0.0754382072331928,0.08542267583758598
85,bond:CC(=O)C_ketone_aromatic_aliphatic,0.9903483470157532,0.04581761704015975,0.03638784113601065
34,bond:C(=O)N_carboxamide_(NHR),0.9909030397159974,0.09429775904149101,0.08542267583758598
493,chain:aromaticAlkene_Ph-C2_cyclic,0.9913467938761926,0.015864211226980254,0.007211005103172842
59,bond:C=N_imine_oxy,0.9915686709562902,0.0,0.008431329043709785
97,bond:CN_amine_aromatic_generic,0.991679609496339,0.12380741069447526,0.12524961171510982
654,ring:hetero_[6]_N_pyridine,0.9917905480363879,0.05358331484357666,0.061792766807188815
688,ring:hetero_[6_6]_O_benzopyran,0.9923452407366319,0.012536055025515865,0.00488129576214777
200,bond:N=[N+]=[N-]_azide_generic,0.9926780563567783,0.0003328156201464389,0.007654759263368094
83,bond:CC(=O)C_ketone_alkene_cyclic_3-en-1-one,0.9930108719769248,0.004326603061903705,0.00488129576214777
67,bond:C=O_carbonyl_ab-unsaturated_aliphatic_(michael_acceptors),0.9931218105169736,0.022520523629909032,0.01564233414688263
35,bond:C(=O)N_carboxamide_(NR2),0.99345462613712,0.06112713556689594,0.05458176170401598
496,chain:oxy-alkaneLinear_ethyleneOxide_EO2,0.9944530729975594,0.005325049922343022,0.00022187708009762592
42,bond:C(=O)O_carboxylicAcid_aromatic,0.9944530729975594,0.026736188151763922,0.032283115154204574
40,bond:C(=O)O_carboxylicAcid_alkenyl,0.9945640115376082,0.022742400710006657,0.01730641224761482
115,bond:COC_ether_alkenyl,0.9945640115376082,0.010650099844686045,0.005214111382294209
55,bond:C=N_carboxamidine_generic,0.9947858886177058,0.012979809185711117,0.007765697803416907
503,chain:oxy-alkaneLinear_ethyleneOxide_EO14,0.9947858886177058,0.00011093854004881296,0.005325049922343022
685,ring:hetero_[6_6]_N_quinoline,0.9948968271577546,0.009873530064344353,0.01497670290658975
434,chain:alkaneCyclic_pentyl_C5,0.995229642777901,0.04382072331928112,0.048591080541380074
642,ring:hetero_[5_6]_N_purine,0.995229642777901,0.0037719103616596404,0.008542267583758598
663,ring:hetero_[6]_N_triazine_generic,0.9953405813179499,0.014311071666296872,0.009651652984246728
100,bond:CN_amine_pri-NH2_aromatic,0.9953405813179499,0.05768804082538274,0.06234745950743288
47,bond:C(=O)O_carboxylicEster_alkenyl,0.9955624583980475,0.029176836032837807,0.02473929443088529
454,chain:alkeneCyclic_diene_cyclopentadiene,0.9962280896383403,0.004437541601952518,0.0006656312402928778
689,ring:hetero_[6_6]_O_benzopyrone_(1_2-),0.9963390281783892,0.0037719103616596404,0.00011093854004881296
114,bond:COC_ether_aliphatic__aromatic,0.9963390281783892,0.13112935433769693,0.12924339915686708
531,group:aminoAcid_proline,0.996449966718438,0.0036609718216108274,0.00011093854004881296
141,bond:CX_halide_alkenyl-X_generic,0.996449966718438,0.01464388728644331,0.011093854004881295
582,group:nucleobase_uracil,0.9966718437985356,0.0033281562014643887,0.0
690,ring:hetero_[6_6]_O_benzopyrone_(1_4-),0.9966718437985356,0.0038828489017084535,0.0005546927002440647
101,bond:CN_amine_pri-NH2_generic,0.9966718437985356,0.1010650099844686,0.10439316618593299
184,bond:CX_halide_aromatic-X_generic,0.9966718437985356,0.13933880630130907,0.14266696250277347
120,bond:COH_alcohol_alkene_cyclic,0.9967827823385844,0.007765697803416907,0.005435988462391835
134,bond:CS_sulfide,0.9967827823385844,0.06467716884845795,0.06145995118704238
92,bond:CN_amine_alicyclic_generic,0.9968937208786333,0.09951187042378522,0.09640559130241846
74,bond:CC(=O)C_ketone_aliphatic_generic,0.9970046594186821,0.061792766807188815,0.05879742622587087
635,ring:hetero_[5_5]_Z_generic,0.9971155979587308,0.006545373862879965,0.0094297759041491
497,chain:oxy-alkaneLinear_ethyleneOxide_EO3,0.9972265364987797,0.002773463501220324,0.0
