feature_set,endpoint,model,fold,n_total,n_pos,pos_rate,roc_auc,avg_prec,mcc,bal_acc,best_params
chemotyper,AR_antagonist,RandomForest,0,9014,1506,0.1671,0.7864,0.4552,0.2854,0.6076,fixed
chemotyper,AR_antagonist,RandomForest,1,9014,1506,0.1671,0.8062,0.513,0.37,0.6438,fixed
chemotyper,AR_antagonist,RandomForest,2,9014,1506,0.1671,0.8067,0.4965,0.3118,0.6205,fixed
chemotyper,AR_antagonist,RandomForest,3,9014,1506,0.1671,0.8092,0.4817,0.3229,0.6283,fixed
chemotyper,AR_antagonist,RandomForest,4,9014,1506,0.1671,0.8062,0.4949,0.338,0.6285,fixed
pycsrml,AR_antagonist,RandomForest,0,9014,1506,0.1671,0.7826,0.4508,0.2738,0.6053,fixed
pycsrml,AR_antagonist,RandomForest,1,9014,1506,0.1671,0.8086,0.4985,0.3579,0.6395,fixed
pycsrml,AR_antagonist,RandomForest,2,9014,1506,0.1671,0.8028,0.4917,0.3288,0.6308,fixed
pycsrml,AR_antagonist,RandomForest,3,9014,1506,0.1671,0.8105,0.4844,0.323,0.6303,fixed
pycsrml,AR_antagonist,RandomForest,4,9014,1506,0.1671,0.8083,0.4978,0.343,0.6315,fixed
chemotyper,AR_agonist,RandomForest,0,9014,471,0.0523,0.8114,0.3889,0.3358,0.6387,fixed
chemotyper,AR_agonist,RandomForest,1,9014,471,0.0523,0.8096,0.4755,0.4309,0.678,fixed
chemotyper,AR_agonist,RandomForest,2,9014,471,0.0523,0.8283,0.4545,0.4097,0.6626,fixed
chemotyper,AR_agonist,RandomForest,3,9014,471,0.0523,0.8262,0.4307,0.4355,0.6857,fixed
chemotyper,AR_agonist,RandomForest,4,9014,471,0.0523,0.8177,0.4205,0.4038,0.6576,fixed
pycsrml,AR_agonist,RandomForest,0,9014,471,0.0523,0.8027,0.3781,0.3222,0.6331,fixed
pycsrml,AR_agonist,RandomForest,1,9014,471,0.0523,0.8087,0.4655,0.427,0.6777,fixed
pycsrml,AR_agonist,RandomForest,2,9014,471,0.0523,0.8285,0.4589,0.4115,0.6534,fixed
pycsrml,AR_agonist,RandomForest,3,9014,471,0.0523,0.8219,0.4221,0.4059,0.6743,fixed
pycsrml,AR_agonist,RandomForest,4,9014,471,0.0523,0.8167,0.4137,0.3701,0.6505,fixed
chemotyper,ERa_antagonist,RandomForest,0,9014,1055,0.117,0.8197,0.396,0.3044,0.6099,fixed
chemotyper,ERa_antagonist,RandomForest,1,9014,1055,0.117,0.8011,0.3563,0.2364,0.5826,fixed
chemotyper,ERa_antagonist,RandomForest,2,9014,1055,0.117,0.8009,0.4186,0.3267,0.6179,fixed
chemotyper,ERa_antagonist,RandomForest,3,9014,1055,0.117,0.8119,0.4439,0.3518,0.6315,fixed
