feature_set,endpoint,roc_auc_mean,roc_auc_std,avg_prec_mean,avg_prec_std,mcc_mean,mcc_std,bal_acc_mean,bal_acc_std
chemotyper,AR_agonist,0.8186,0.0084,0.434,0.0331,0.4031,0.04,0.6645,0.0184
chemotyper,AR_antagonist,0.8029,0.0093,0.4883,0.0216,0.3256,0.0314,0.6257,0.0132
chemotyper,AhR_agonist,0.8458,0.0217,0.3696,0.0267,0.3226,0.0324,0.6326,0.021
chemotyper,Aromatase_antagonist,0.8209,0.0271,0.4383,0.0254,0.3373,0.0181,0.6271,0.0091
chemotyper,CYP2C19_antagonist,0.773,0.0179,0.5802,0.0235,0.3691,0.0323,0.6656,0.0153
chemotyper,CYP2C9_antagonist,0.7944,0.006,0.6386,0.0121,0.4084,0.0244,0.6906,0.0094
chemotyper,CYP2D6_antagonist,0.7333,0.0121,0.6189,0.0241,0.3355,0.0276,0.6631,0.0147
chemotyper,CYP3A4_antagonist,0.8062,0.0098,0.5725,0.0198,0.3778,0.0137,0.6609,0.0093
chemotyper,Caspase3_HEPG2,0.8427,0.0171,0.3158,0.0522,0.3045,0.057,0.6059,0.0225
chemotyper,DT40_genotoxicity,0.794,0.0058,0.6342,0.0121,0.4152,0.0193,0.6923,0.0072
chemotyper,ERa_agonist,0.6569,0.0212,0.2691,0.0218,0.1909,0.0344,0.5747,0.0158
chemotyper,ERa_antagonist,0.8178,0.0224,0.4114,0.0365,0.3046,0.0429,0.611,0.0179
chemotyper,MMP_ratio,0.8633,0.0073,0.5338,0.0086,0.3988,0.0202,0.6587,0.0096
chemotyper,TR_antagonist,0.8276,0.0085,0.6016,0.0097,0.4229,0.017,0.6835,0.01
chemotyper,p53_ratio,0.8176,0.0125,0.348,0.0174,0.2795,0.0187,0.5962,0.0063
pycsrml,AR_agonist,0.8157,0.0103,0.4277,0.0357,0.3873,0.042,0.6578,0.0184
pycsrml,AR_antagonist,0.8026,0.0115,0.4846,0.0198,0.3253,0.0318,0.6275,0.013
pycsrml,AhR_agonist,0.8502,0.0244,0.3732,0.0195,0.3157,0.0275,0.6306,0.0157
pycsrml,Aromatase_antagonist,0.8184,0.0194,0.4332,0.0221,0.335,0.0201,0.6274,0.0113
pycsrml,CYP2C19_antagonist,0.7716,0.0188,0.5814,0.0252,0.375,0.0316,0.6694,0.0158
pycsrml,CYP2C9_antagonist,0.792,0.01,0.6363,0.0168,0.4069,0.0293,0.6909,0.0119
pycsrml,CYP2D6_antagonist,0.7336,0.0131,0.6191,0.0234,0.3301,0.0153,0.6601,0.0081
pycsrml,CYP3A4_antagonist,0.8044,0.0106,0.5677,0.0224,0.3688,0.0176,0.6563,0.0089
pycsrml,Caspase3_HEPG2,0.8469,0.0156,0.3175,0.0443,0.3033,0.0656,0.6058,0.0282
pycsrml,DT40_genotoxicity,0.7975,0.0062,0.641,0.0116,0.423,0.014,0.6956,0.0041
pycsrml,ERa_agonist,0.6545,0.0243,0.2642,0.0279,0.1913,0.0357,0.5748,0.0152
pycsrml,ERa_antagonist,0.8148,0.0229,0.4035,0.0385,0.3058,0.0414,0.6127,0.0167
pycsrml,MMP_ratio,0.8607,0.0065,0.5265,0.0087,0.4019,0.0189,0.6617,0.0102
pycsrml,TR_antagonist,0.8267,0.0103,0.5982,0.0166,0.426,0.0185,0.6848,0.0093
pycsrml,p53_ratio,0.8153,0.011,0.3487,0.0195,0.2632,0.0274,0.5914,0.0097
