feature_set,endpoint,model,fold,n_total,n_pos,pos_rate,roc_auc,avg_prec,mcc,bal_acc,best_params
chemotyper,AR_antagonist,RandomForest,0,9014,1506,0.1671,0.7857,0.4595,0.2889,0.6083,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,AR_antagonist,RandomForest,1,9014,1506,0.1671,0.8093,0.5129,0.3616,0.6402,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,AR_antagonist,RandomForest,2,9014,1506,0.1671,0.8063,0.4934,0.3187,0.6229,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,AR_antagonist,RandomForest,3,9014,1506,0.1671,0.8136,0.4856,0.3329,0.6313,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,AR_antagonist,RandomForest,4,9014,1506,0.1671,0.8017,0.4911,0.3337,0.6338,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,AR_antagonist,RandomForest,0,9014,1506,0.1671,0.7855,0.4393,0.2889,0.6083,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,AR_antagonist,RandomForest,1,9014,1506,0.1671,0.8049,0.4823,0.3446,0.6328,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,AR_antagonist,RandomForest,2,9014,1506,0.1671,0.8103,0.4997,0.3321,0.6325,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,AR_antagonist,RandomForest,3,9014,1506,0.1671,0.8132,0.482,0.3245,0.6277,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,AR_antagonist,RandomForest,4,9014,1506,0.1671,0.8075,0.4826,0.3439,0.6358,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,AR_agonist,RandomForest,0,9014,471,0.0523,0.8188,0.3989,0.3287,0.6337,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,AR_agonist,RandomForest,1,9014,471,0.0523,0.8139,0.4628,0.4539,0.6889,"{'max_features': 0.2, 'n_estimators': 400}"
chemotyper,AR_agonist,RandomForest,2,9014,471,0.0523,0.8445,0.4473,0.3766,0.6555,"{'max_features': 0.2, 'n_estimators': 400}"
chemotyper,AR_agonist,RandomForest,3,9014,471,0.0523,0.8368,0.4276,0.4167,0.6886,"{'max_features': 0.2, 'n_estimators': 400}"
