feature_set,endpoint,roc_auc_mean,roc_auc_std,avg_prec_mean,avg_prec_std,mcc_mean,mcc_std,bal_acc_mean,bal_acc_std
chemotyper,AR_agonist,0.826,0.0138,0.4277,0.0279,0.3947,0.0466,0.6657,0.0235
chemotyper,AR_antagonist,0.8033,0.0108,0.4885,0.0192,0.3272,0.0264,0.6273,0.0123
chemotyper,AhR_agonist,0.8484,0.0209,0.3732,0.0277,0.3262,0.0402,0.6341,0.0242
chemotyper,Aromatase_antagonist,0.8215,0.0256,0.4385,0.027,0.3389,0.025,0.6263,0.0096
chemotyper,CYP2C19_antagonist,0.7737,0.0177,0.5815,0.023,0.3793,0.029,0.6703,0.0144
chemotyper,CYP2C9_antagonist,0.7944,0.0077,0.6399,0.0145,0.4105,0.0274,0.6925,0.0104
chemotyper,CYP2D6_antagonist,0.7341,0.0116,0.621,0.0228,0.339,0.0254,0.6651,0.0134
chemotyper,CYP3A4_antagonist,0.8068,0.0089,0.5726,0.0191,0.3753,0.0192,0.6595,0.0104
chemotyper,Caspase3_HEPG2,0.8435,0.0154,0.3138,0.0511,0.305,0.0591,0.6084,0.0274
chemotyper,DT40_genotoxicity,0.7943,0.0057,0.6348,0.0133,0.4132,0.0214,0.691,0.0086
chemotyper,ERa_agonist,0.6556,0.0239,0.2688,0.0205,0.1891,0.0351,0.5756,0.0149
chemotyper,ERa_antagonist,0.8184,0.0228,0.4127,0.035,0.3091,0.0498,0.6157,0.0241
chemotyper,MMP_ratio,0.8639,0.0073,0.534,0.0095,0.4039,0.0185,0.6601,0.0099
chemotyper,TR_antagonist,0.8281,0.0092,0.6017,0.01,0.4269,0.011,0.685,0.0079
chemotyper,p53_ratio,0.8194,0.014,0.3531,0.0164,0.269,0.0249,0.592,0.0082
pycsrml,AR_agonist,0.8131,0.0205,0.4192,0.0361,0.3779,0.0374,0.6589,0.0196
pycsrml,AR_antagonist,0.8043,0.0109,0.4772,0.0225,0.3268,0.0228,0.6274,0.0111
pycsrml,AhR_agonist,0.8487,0.0199,0.3702,0.02,0.3293,0.0268,0.6346,0.017
pycsrml,Aromatase_antagonist,0.8168,0.0244,0.426,0.0271,0.3298,0.0252,0.6228,0.0111
pycsrml,CYP2C19_antagonist,0.7751,0.0224,0.5843,0.0289,0.3732,0.0397,0.6696,0.0186
pycsrml,CYP2C9_antagonist,0.7896,0.0086,0.6339,0.0128,0.4124,0.0239,0.6955,0.01
pycsrml,CYP2D6_antagonist,0.7307,0.0117,0.6168,0.0183,0.3237,0.0185,0.6577,0.0089
pycsrml,CYP3A4_antagonist,0.8032,0.011,0.5692,0.0228,0.3624,0.0128,0.653,0.0049
pycsrml,Caspase3_HEPG2,0.8466,0.0247,0.3186,0.0605,0.2903,0.0692,0.6014,0.0321
pycsrml,DT40_genotoxicity,0.7954,0.0093,0.6356,0.0139,0.4162,0.0199,0.6942,0.0069
pycsrml,ERa_agonist,0.6539,0.03,0.2636,0.0339,0.1948,0.0325,0.5787,0.0151
pycsrml,ERa_antagonist,0.8126,0.0209,0.397,0.0343,0.3071,0.0465,0.6157,0.0206
pycsrml,MMP_ratio,0.8586,0.0049,0.5234,0.0082,0.4021,0.0207,0.66,0.01
pycsrml,TR_antagonist,0.8283,0.007,0.6008,0.0132,0.4204,0.0241,0.6819,0.0113
pycsrml,p53_ratio,0.8139,0.0121,0.3446,0.0173,0.2658,0.0268,0.5917,0.0099
